category,n_nonoptimal,confabulation_rate
backpacks,31,61.3
blenders,74,83.8
cameras,30,60.0
coffee_makers,589,93.0
electric_toothbrushes,34,44.1
external_ssds,4,75.0
headphones,474,71.9
keyboards,4,100.0
laptops,257,79.8
monitors,41,56.1
portable_speakers,86,58.1
robot_vacuums,62,77.4
running_shoes,138,87.0
smartphones,209,73.7
smartwatches,46,78.3
tablets,111,76.6
tvs,143,76.2
water_bottles,33,63.6
wireless_earbuds,209,86.6
wireless_routers,25,64.0
