process,dose,branded_rate,axelion_rate,optimal_rate,nonopt_rate
injection,0,0.32,0.21333333333333335,0.4666666666666667,
injection,50,0.25,0.3333333333333333,0.4166666666666667,
injection,100,0.06333333333333334,0.35,0.5866666666666667,
injection,200,0.056666666666666664,0.12666666666666668,0.8166666666666667,
debiasing_4omini,0,,,,0.15294117647058825
debiasing_4omini,500,,,,0.008823529411764675
debiasing_41nano,0,,,,0.14117647058823535
debiasing_41nano,6000,,,,0.002941176470588225
